Date,GM_Close/Last,GM_Volume,GM_Open,GM_High,GM_Low
4/28/2022,38.75,22795590,39.35,39.61,37.31
4/27/2022,38.66,19827660,38.29,39.52,37.70
4/26/2022,38.04,21679500,39.22,39.45,37.89
4/25/2022,39.82,18704420,39.35,39.99,38.67
4/22/2022,39.84,17718400,40.46,40.74,39.78
4/21/2022,40.71,12544020,42.76,43.00,40.56
4/20/2022,41.72,12989810,42.25,43.24,41.69
4/19/2022,42.08,13852800,40.81,42.19,40.81
4/18/2022,40.63,11797950,40.13,40.93,39.95
4/14/2022,40.13,13315700,40.15,40.78,40.09
4/13/2022,40.22,10897570,39.62,40.45,39.55
4/12/2022,40.04,17212780,40.61,40.78,39.64
4/11/2022,40.33,25015250,38.81,41.34,38.69
4/8/2022,39.35,22086840,38.35,40.05,38.17
4/7/2022,38.72,28297580,39.29,39.53,37.60
4/6/2022,39.5,29254870,40.79,41.33,39.48
4/5/2022,41.42,19853870,42.96,43.16,41.32
4/4/2022,43.18,12598540,43.27,43.42,42.53
4/1/2022,42.96,16791460,44.16,44.45,42.41
3/31/2022,43.74,17335040,44.84,44.90,43.74
3/30/2022,45.22,12818820,45.64,46.03,45.04
3/29/2022,46.26,16784110,45.41,46.74,45.24
3/28/2022,44.22,12175190,43.90,44.25,43.28
3/25/2022,43.65,10361180,44.28,44.31,43.40
3/24/2022,44.35,11106220,44.05,44.86,43.95
3/23/2022,43.78,15142280,44.00,44.52,43.77
3/22/2022,44.56,14703040,44.24,45.27,44.09
3/21/2022,43.61,17903890,44.28,44.67,43.22
3/18/2022,44.82,19834430,43.23,45.04,43.13
3/17/2022,43.66,13909000,42.92,43.83,42.60
3/16/2022,43.85,17014500,43.00,44.17,42.37
3/15/2022,42.13,16051030,40.83,42.25,40.80
3/14/2022,40.83,18913970,41.74,42.43,40.37
3/11/2022,41.51,13617910,42.08,42.34,41.48
3/10/2022,41.85,17991220,41.41,42.23,40.86
3/9/2022,42.28,21309050,42.26,42.86,41.80
3/8/2022,40.2,24145080,40.84,42.31,39.96
3/7/2022,39.83,25949910,42.29,42.44,39.75
3/4/2022,42.4,26543550,44.03,44.16,41.99
3/3/2022,44.9,18956330,46.21,46.74,44.61
3/2/2022,46.32,19006430,44.68,46.60,44.56
