Open,Close,High,Low,Volume,Date
104.96,107.59,108,103.29,,04/28/22
105.45,105.32,106.33,103.27,,04/27/22
102.53,104.99,106.2,101.08,,04/26/22
105.49,102.32,105.85,99.48,,04/25/22
108.26,106.65,108.76,105.54,,04/22/22
107.07,108.33,109.8,106.76,,04/21/22
108.1,106.8,109,104.65,,04/20/22
112.85,107.25,114.21,106.74,,04/19/22
112.32,113.16,114.84,110.71,,04/18/22
108.29,111.7,112.39,106.63,,04/14/22
105.44,108.78,109,104.06,,04/13/22
99.35,104.64,105.6,98.9,,04/12/22
103.21,98.48,103.3,97.57,,04/11/22
101.42,102.78,103.3,99.65,,04/08/22
101.78,100.58,103.59,98.41,,04/07/22
105.7,101.07,108.67,100.54,,04/06/22
108.51,106.64,109.9,104.53,,04/05/22
104.08,107.53,108.68,102.89,,04/04/22
105.25,104.39,106.24,102.35,,04/01/22
112.81,107.91,112.94,106.5,,03/31/22
112,113.45,114.8,110.74,,03/30/22
110.1,110.23,114.83,104.84,,03/29/22
119.9,112.48,119.9,109.06,,03/28/22
118.88,120.65,120.92,115.16,,03/25/22
121.56,119.03,123.74,116.93,,03/24/22
114.7,121.6,122.34,114.45,,03/23/22
117.04,115.48,119.48,112.64,,03/22/22
107.5,115.62,116.8,107.06,,03/21/22
106.8,107.93,109.59,105.78,,03/18/22
98.61,106.64,107.5,97.75,,03/17/22
99.14,98.02,103.7,96.93,,03/16/22
105.34,99.91,105.71,97.44,,03/15/22
113.15,106.9,113.15,103.49,,03/14/22
110.26,112.67,113.91,107.13,,03/11/22
112.65,109.33,118.36,109,,03/10/22
130.28,111.14,131.64,105.6,,03/09/22
124.56,127.98,133.15,121.31,,03/08/22
122.79,123.21,139.13,119.04,,03/07/22
114.23,118.11,118.98,109.62,,03/04/22
115.27,110.46,119.84,109.4,,03/03/22
107.34,112.93,115.11,106.83,,03/02/22
98.43,104.97,107.67,98.3,,03/01/22
101.98,100.99,105.07,99.64,,02/28/22
100.69,97.93,101.99,96,,02/25/22
98.08,99.08,105.79,97.56,,02/24/22
96.65,96.84,98.71,95.81,,02/23/22
96.55,96.84,99.5,95.8,,02/22/22
94.29,95.39,97.4,92.57,,02/21/22
92.73,93.54,94.15,90.12,,02/18/22
92.2,92.97,94.5,92.14,,02/17/22
93.49,94.81,96.07,91.11,,02/16/22
95.81,93.28,96.26,92.06,,02/15/22
95.2,96.48,96.78,93.44,,02/14/22
91.17,94.44,95.66,90.51,,02/11/22
91.75,91.41,93.1,90.88,,02/10/22
91.08,91.55,92.09,90.05,,02/09/22
92.63,90.78,92.93,89.93,,02/08/22
